claim_id,claim_date,sale_id,repair_status
CL-625,11/04/2020,OID-423560,Warranty Void
CL-627,31/03/2020,OID-362949,Free Replaced
CL-628,31/03/2020,OID-363005,Free Replaced
CL-629,31/03/2020,OID-363179,Free Replaced
CL-630,31/03/2020,OID-363387,Free Replaced
CL-631,31/03/2020,OID-363394,Free Replaced
CL-633,01/04/2020,OID-363034,Free Replaced
CL-634,01/04/2020,OID-363350,Free Replaced
CL-640,02/04/2020,OID-363052,Free Replaced
CL-641,02/04/2020,OID-363085,Free Replaced
CL-642,02/04/2020,OID-363293,Free Replaced
CL-646,09/06/2020,OID-449190,Warranty Void
CL-647,20/10/2020,OID-410870,Paid Repaired
CL-652,04/04/2020,OID-362947,Free Replaced
CL-653,04/04/2020,OID-363078,Free Replaced
CL-654,04/04/2020,OID-363174,Free Replaced
CL-655,04/04/2020,OID-363258,Free Replaced
CL-656,04/04/2020,OID-363383,Free Replaced
CL-660,05/04/2020,OID-362978,Free Replaced
CL-661,05/04/2020,OID-363081,Free Replaced
CL-662,05/04/2020,OID-363166,Free Replaced
CL-663,05/04/2020,OID-363333,Free Replaced
CL-665,26/06/2020,OID-410957,Warranty Void
CL-670,06/04/2020,OID-362960,Free Replaced
CL-675,21/05/2020,OID-423601,Warranty Void
CL-676,08/04/2020,OID-363172,Free Replaced
CL-677,08/04/2020,OID-363203,Free Replaced
CL-678,08/04/2020,OID-363268,Free Replaced
CL-679,08/04/2020,OID-363337,Free Replaced
CL-680,09/04/2020,OID-362943,Free Replaced
CL-681,09/04/2020,OID-362948,Free Replaced
CL-682,09/04/2020,OID-363064,Free Replaced
CL-683,09/04/2020,OID-363099,Free Replaced
CL-684,09/04/2020,OID-363175,Free Replaced
CL-685,09/04/2020,OID-363352,Free Replaced
CL-686,09/04/2020,OID-363391,Free Replaced
CL-693,10/04/2020,OID-363059,Free Replaced
CL-694,10/04/2020,OID-363239,Free Replaced
CL-700,11/04/2020,OID-363020,Free Replaced
CL-701,11/04/2020,OID-363074,Free Replaced
CL-702,11/04/2020,OID-363281,Free Replaced
CL-703,11/04/2020,OID-363299,Free Replaced
CL-704,11/04/2020,OID-363351,Free Replaced
CL-705,11/04/2020,OID-363385,Free Replaced
CL-708,12/04/2020,OID-362953,Free Replaced
CL-709,12/04/2020,OID-363035,Free Replaced
CL-710,12/04/2020,OID-363128,Free Replaced
CL-711,12/04/2020,OID-363132,Free Replaced
CL-716,13/04/2020,OID-362935,Free Replaced
CL-717,13/04/2020,OID-363102,Free Replaced
CL-718,13/04/2020,OID-363267,Free Replaced
CL-724,14/04/2020,OID-362896,Free Replaced
CL-727,15/04/2020,OID-362860,Free Replaced
CL-728,15/04/2020,OID-362872,Free Replaced
CL-729,24/10/2020,OID-398082,Paid Repaired
CL-732,18/06/2020,OID-423473,Warranty Void
CL-736,16/04/2020,OID-363014,Free Replaced
CL-737,16/04/2020,OID-363400,Free Replaced
CL-739,17/04/2020,OID-362913,Free Replaced
CL-740,17/04/2020,OID-363077,Free Replaced
CL-741,17/04/2020,OID-363318,Free Replaced
CL-742,17/04/2020,OID-363342,Free Replaced
CL-744,17/08/2020,OID-410837,Warranty Void
CL-749,15/05/2020,OID-410832,Warranty Void
CL-753,19/04/2020,OID-362898,Free Replaced
CL-754,19/04/2020,OID-363190,Free Replaced
CL-755,19/04/2020,OID-363194,Free Replaced
CL-756,19/04/2020,OID-363227,Free Replaced
CL-757,20/04/2020,OID-363232,Free Replaced
CL-762,21/04/2020,OID-362831,Free Replaced
CL-763,21/04/2020,OID-362865,Free Replaced
CL-764,21/04/2020,OID-362900,Free Replaced
CL-765,21/04/2020,OID-362966,Free Replaced
CL-766,21/04/2020,OID-363043,Free Replaced
CL-767,21/04/2020,OID-363063,Free Replaced
CL-768,21/04/2020,OID-363210,Free Replaced
CL-769,21/04/2020,OID-363399,Free Replaced
CL-770,31/10/2020,OID-436341,Paid Repaired
CL-777,22/04/2020,OID-362855,Free Replaced
CL-778,22/04/2020,OID-362915,Free Replaced
CL-779,22/04/2020,OID-363090,Free Replaced
CL-780,22/04/2020,OID-363146,Free Replaced
CL-781,22/04/2020,OID-363254,Free Replaced
CL-782,22/04/2020,OID-363295,Free Replaced
CL-783,22/04/2020,OID-363374,Free Replaced
CL-787,23/04/2020,OID-363157,Free Replaced
CL-788,23/04/2020,OID-363384,Free Replaced
CL-791,30/07/2020,OID-423504,Warranty Void
CL-794,24/04/2020,OID-362926,Free Replaced
CL-795,24/04/2020,OID-363153,Free Replaced
CL-796,24/04/2020,OID-363283,Free Replaced
CL-797,21/11/2020,OID-398182,Paid Repaired
CL-802,09/08/2020,OID-449078,Warranty Void
CL-804,25/04/2020,OID-362870,Free Replaced
CL-805,25/04/2020,OID-363003,Free Replaced
CL-806,25/04/2020,OID-363105,Free Replaced
CL-807,25/04/2020,OID-363242,Free Replaced
CL-810,06/07/2020,OID-436460,Warranty Void
CL-812,26/04/2020,OID-362878,Free Replaced
CL-813,26/04/2020,OID-362981,Free Replaced
CL-814,26/04/2020,OID-363165,Free Replaced
CL-815,26/04/2020,OID-363214,Free Replaced
CL-816,26/04/2020,OID-363282,Free Replaced
CL-817,26/04/2020,OID-363366,Free Replaced
CL-819,05/12/2020,OID-423595,Paid Repaired
CL-820,05/10/2020,OID-436387,Paid Repaired
CL-823,27/04/2020,OID-363070,Free Replaced
CL-824,27/04/2020,OID-363167,Free Replaced
CL-825,27/04/2020,OID-363187,Free Replaced
CL-826,27/04/2020,OID-363248,Free Replaced
CL-827,27/04/2020,OID-363279,Free Replaced
CL-828,05/05/2020,OID-410857,Warranty Void
CL-829,08/04/2020,OID-410942,Warranty Void
CL-834,28/04/2020,OID-362827,Free Replaced
CL-835,28/04/2020,OID-363191,Free Replaced
CL-836,28/04/2020,OID-363226,Free Replaced
CL-837,28/04/2020,OID-363322,Free Replaced
CL-838,28/04/2020,OID-363372,Free Replaced
CL-840,01/06/2020,OID-449031,Warranty Void
CL-841,29/04/2020,OID-362876,Free Replaced
CL-842,29/04/2020,OID-363031,Free Replaced
CL-843,29/04/2020,OID-363329,Free Replaced
CL-844,29/04/2020,OID-363338,Free Replaced
CL-845,29/04/2020,OID-363369,Free Replaced
CL-846,27/12/2020,OID-423494,Paid Repaired
CL-848,30/09/2020,OID-449181,Paid Repaired
CL-850,30/04/2020,OID-362955,Free Replaced
CL-851,30/04/2020,OID-362989,Free Replaced
CL-852,30/04/2020,OID-362999,Free Replaced
CL-853,30/04/2020,OID-363098,Free Replaced
CL-854,30/04/2020,OID-363142,Free Replaced
CL-855,30/04/2020,OID-363198,Free Replaced
CL-856,30/04/2020,OID-363320,Free Replaced
CL-857,01/05/2020,OID-363007,Free Replaced
CL-858,01/05/2020,OID-363139,Free Replaced
CL-859,01/05/2020,OID-363231,Free Replaced
CL-860,01/05/2020,OID-363303,Free Replaced
CL-862,02/06/2020,OID-410847,Warranty Void
CL-863,02/05/2020,OID-362892,Free Replaced
CL-864,02/05/2020,OID-363075,Free Replaced
CL-865,02/05/2020,OID-363321,Free Replaced
CL-868,03/05/2020,OID-362921,Free Replaced
CL-869,03/05/2020,OID-363181,Free Replaced
CL-870,03/05/2020,OID-363186,Free Replaced
CL-871,03/05/2020,OID-363223,Free Replaced
CL-872,03/05/2020,OID-363390,Free Replaced
CL-876,18/05/2020,OID-436363,Warranty Void
CL-878,04/05/2020,OID-362861,Free Replaced
CL-879,04/05/2020,OID-362973,Free Replaced
CL-880,04/05/2020,OID-363068,Free Replaced
CL-881,04/05/2020,OID-363193,Free Replaced
CL-882,10/05/2020,OID-398066,Warranty Void
CL-886,05/05/2020,OID-362755,Free Replaced
CL-887,05/05/2020,OID-362847,Free Replaced
CL-888,05/05/2020,OID-362867,Free Replaced
CL-889,05/05/2020,OID-362887,Free Replaced
CL-890,05/05/2020,OID-363028,Free Replaced
CL-891,05/05/2020,OID-363216,Free Replaced
CL-892,05/05/2020,OID-363246,Free Replaced
CL-895,06/05/2020,OID-362787,Free Replaced
CL-896,06/05/2020,OID-363094,Free Replaced
CL-897,06/05/2020,OID-363164,Free Replaced
CL-898,06/05/2020,OID-363402,Free Replaced
CL-901,07/05/2020,OID-363041,Free Replaced
CL-902,19/11/2020,OID-398139,Paid Repaired
CL-904,08/05/2020,OID-363019,Free Replaced
CL-905,08/05/2020,OID-363160,Free Replaced
CL-906,08/05/2020,OID-363330,Free Replaced
CL-912,09/05/2020,OID-362710,Free Replaced
CL-913,09/05/2020,OID-363184,Free Replaced
CL-914,09/05/2020,OID-363335,Free Replaced
CL-915,09/05/2020,OID-363376,Free Replaced
CL-916,05/12/2020,OID-398054,Paid Repaired
CL-917,14/12/2020,OID-410906,Paid Repaired
CL-924,24/04/2020,OID-436423,Warranty Void
CL-926,11/05/2020,OID-362839,Free Replaced
CL-927,11/05/2020,OID-363038,Free Replaced
CL-928,11/05/2020,OID-363057,Free Replaced
CL-929,11/05/2020,OID-363114,Free Replaced
CL-930,11/05/2020,OID-363253,Free Replaced
CL-931,11/05/2020,OID-363377,Free Replaced
CL-932,03/08/2020,OID-397999,Warranty Void
CL-937,12/05/2020,OID-362759,Free Replaced
CL-938,12/05/2020,OID-363015,Free Replaced
CL-939,12/05/2020,OID-363079,Free Replaced
CL-940,12/05/2020,OID-363125,Free Replaced
CL-941,12/05/2020,OID-363141,Free Replaced
CL-942,12/05/2020,OID-363288,Free Replaced
CL-946,12/07/2020,OID-436281,Warranty Void
CL-947,19/10/2020,OID-436298,Warranty Void
CL-948,03/06/2020,OID-436358,Warranty Void
CL-949,30/12/2020,OID-448931,Paid Repaired
CL-950,13/05/2020,OID-362901,Free Replaced
CL-951,13/05/2020,OID-363029,Free Replaced
CL-952,13/05/2020,OID-363147,Free Replaced
CL-953,13/05/2020,OID-363180,Free Replaced
CL-955,14/05/2020,OID-362723,Free Replaced
CL-956,14/05/2020,OID-362728,Free Replaced
CL-957,14/05/2020,OID-362766,Free Replaced
CL-958,14/05/2020,OID-362869,Free Replaced
CL-961,30/07/2020,OID-436390,Warranty Void
CL-963,15/05/2020,OID-362884,Free Replaced
CL-964,15/05/2020,OID-362969,Free Replaced
CL-965,15/05/2020,OID-363388,Free Replaced
CL-968,29/10/2020,OID-449109,Paid Repaired
CL-969,16/05/2020,OID-362734,Free Replaced
CL-970,16/05/2020,OID-362891,Free Replaced
CL-971,16/05/2020,OID-362895,Free Replaced
CL-972,16/05/2020,OID-363065,Free Replaced
CL-973,16/05/2020,OID-363192,Free Replaced
CL-974,07/06/2020,OID-410917,Warranty Void
CL-979,17/05/2020,OID-362675,Free Replaced
CL-980,17/05/2020,OID-362730,Free Replaced
CL-981,17/05/2020,OID-362919,Free Replaced
CL-985,18/05/2020,OID-362789,Free Replaced
CL-996,19/05/2020,OID-362813,Free Replaced
CL-997,19/05/2020,OID-362832,Free Replaced
CL-998,19/05/2020,OID-362886,Free Replaced
CL-999,19/05/2020,OID-363033,Free Replaced
CL-1001,30/12/2020,OID-410716,Paid Repaired
CL-1003,16/12/2020,OID-423415,Paid Repaired
CL-1004,25/11/2020,OID-423475,Paid Repaired
CL-1005,01/07/2020,OID-436398,Warranty Void
CL-1006,06/12/2020,OID-448954,Paid Repaired
CL-1007,17/11/2020,OID-449110,Paid Repaired
CL-1009,20/05/2020,OID-362791,Free Replaced
CL-1010,20/05/2020,OID-362797,Free Replaced
CL-1011,20/05/2020,OID-363339,Free Replaced
CL-1012,20/05/2020,OID-363368,Free Replaced
CL-1013,19/06/2020,OID-398030,Warranty Void
CL-1014,16/08/2020,OID-398109,Warranty Void
CL-1017,21/05/2020,OID-363257,Free Replaced
CL-1021,22/05/2020,OID-363055,Free Replaced
CL-1022,22/05/2020,OID-363112,Free Replaced
CL-1023,22/05/2020,OID-363365,Free Replaced
CL-1028,13/09/2020,OID-449162,Warranty Void
CL-1029,23/05/2020,OID-362683,Free Replaced
CL-1030,23/05/2020,OID-362843,Free Replaced
CL-1031,23/05/2020,OID-362942,Free Replaced
CL-1032,23/05/2020,OID-362963,Free Replaced
CL-1033,23/05/2020,OID-363088,Free Replaced
CL-1034,23/05/2020,OID-363326,Free Replaced
CL-1036,16/06/2020,OID-423357,Warranty Void
CL-1038,08/05/2020,OID-436385,Warranty Void
CL-1040,26/12/2020,OID-448932,Paid Repaired
CL-1041,24/05/2020,OID-362731,Free Replaced
CL-1042,24/05/2020,OID-362802,Free Replaced
CL-1043,24/05/2020,OID-362964,Free Replaced
CL-1044,24/05/2020,OID-362977,Free Replaced
CL-1045,24/05/2020,OID-362997,Free Replaced
CL-1046,24/05/2020,OID-363163,Free Replaced
CL-1047,24/05/2020,OID-363241,Free Replaced
CL-1048,24/05/2020,OID-363354,Free Replaced
CL-1051,25/05/2020,OID-363054,Free Replaced
CL-1052,25/05/2020,OID-363358,Free Replaced
CL-1053,18/08/2020,OID-398046,Warranty Void
CL-1054,30/10/2020,OID-410953,Paid Repaired
CL-1061,26/05/2020,OID-362817,Free Replaced
CL-1062,26/05/2020,OID-362828,Free Replaced
CL-1063,26/05/2020,OID-362846,Free Replaced
CL-1064,26/05/2020,OID-363144,Free Replaced
CL-1065,26/05/2020,OID-363364,Free Replaced
CL-1067,19/05/2020,OID-410890,Warranty Void
CL-1068,27/05/2020,OID-362687,Free Replaced
CL-1069,27/05/2020,OID-363136,Free Replaced
CL-1070,27/05/2020,OID-363228,Free Replaced
CL-1072,28/05/2020,OID-362611,Free Replaced
CL-1073,28/05/2020,OID-362979,Free Replaced
CL-1074,28/05/2020,OID-363032,Free Replaced
CL-1075,28/05/2020,OID-363197,Free Replaced
CL-1077,28/11/2020,OID-410696,Paid Repaired
CL-1078,21/05/2020,OID-423550,Warranty Void
CL-1079,13/07/2020,OID-436370,Warranty Void
CL-1081,10/10/2020,OID-449180,Paid Repaired
CL-1082,09/11/2020,OID-398063,Paid Repaired
CL-1087,30/05/2020,OID-362640,Free Replaced
CL-1088,30/05/2020,OID-362654,Free Replaced
CL-1089,30/05/2020,OID-362909,Free Replaced
CL-1090,30/05/2020,OID-362924,Free Replaced
CL-1091,12/11/2020,OID-410740,Paid Repaired
CL-1092,10/11/2020,OID-410772,Paid Repaired
CL-1094,31/05/2020,OID-362580,Free Replaced
CL-1095,31/05/2020,OID-362605,Free Replaced
CL-1096,31/05/2020,OID-362914,Free Replaced
CL-1097,31/05/2020,OID-362996,Free Replaced
CL-1098,31/05/2020,OID-363116,Free Replaced
CL-1102,01/06/2020,OID-362720,Free Replaced
CL-1103,01/06/2020,OID-363263,Free Replaced
CL-1104,05/12/2020,OID-410626,Paid Repaired
CL-1105,09/11/2020,OID-410631,Warranty Void
CL-1106,16/01/2021,OID-410660,Paid Repaired
CL-1109,02/06/2020,OID-363328,Free Replaced
CL-1110,03/06/2020,OID-363100,Free Replaced
CL-1111,03/06/2020,OID-363134,Free Replaced
CL-1112,03/06/2020,OID-363380,Free Replaced
CL-1113,07/07/2020,OID-410676,Warranty Void
CL-1117,18/08/2020,OID-449087,Warranty Void
CL-1118,04/06/2020,OID-362564,Free Replaced
CL-1119,04/06/2020,OID-363008,Free Replaced
CL-1120,04/06/2020,OID-363145,Free Replaced
CL-1121,04/06/2020,OID-363230,Free Replaced
CL-1122,04/06/2020,OID-363336,Free Replaced
CL-1125,28/06/2020,OID-423272,Warranty Void
CL-1126,16/07/2020,OID-423602,Warranty Void
CL-1129,29/07/2020,OID-448844,Warranty Void
CL-1130,05/06/2020,OID-362578,Free Replaced
CL-1131,05/06/2020,OID-362617,Free Replaced
CL-1132,05/06/2020,OID-362681,Free Replaced
CL-1133,05/06/2020,OID-362682,Free Replaced
CL-1134,05/06/2020,OID-362715,Free Replaced
CL-1135,05/06/2020,OID-362812,Free Replaced
CL-1136,05/06/2020,OID-362893,Free Replaced
CL-1137,05/06/2020,OID-363000,Free Replaced
CL-1138,05/06/2020,OID-363016,Free Replaced
CL-1139,05/06/2020,OID-363044,Free Replaced
CL-1140,05/06/2020,OID-363218,Free Replaced
CL-1141,05/06/2020,OID-363275,Free Replaced
CL-1142,05/06/2020,OID-363315,Free Replaced
CL-1143,05/06/2020,OID-363349,Free Replaced
CL-1146,06/06/2020,OID-362574,Free Replaced
CL-1147,06/06/2020,OID-362700,Free Replaced
CL-1148,06/06/2020,OID-362905,Free Replaced
CL-1149,06/06/2020,OID-362941,Free Replaced
CL-1150,06/06/2020,OID-362982,Free Replaced
CL-1151,06/06/2020,OID-363049,Free Replaced
CL-1152,06/06/2020,OID-363150,Free Replaced
CL-1153,06/06/2020,OID-363271,Free Replaced
CL-1154,27/10/2020,OID-398043,Paid Repaired
CL-1155,30/09/2020,OID-436280,Warranty Void
CL-1156,07/06/2020,OID-362764,Free Replaced
CL-1157,07/06/2020,OID-362782,Free Replaced
CL-1158,07/06/2020,OID-362879,Free Replaced
CL-1159,07/06/2020,OID-363001,Free Replaced
CL-1160,07/06/2020,OID-363206,Free Replaced
CL-1162,29/08/2020,OID-410714,Warranty Void
CL-1163,29/05/2020,OID-423363,Warranty Void
CL-1165,02/12/2020,OID-449066,Paid Repaired
CL-1166,08/06/2020,OID-362674,Free Replaced
CL-1167,08/06/2020,OID-363135,Free Replaced
CL-1168,08/06/2020,OID-363200,Free Replaced
CL-1169,11/07/2020,OID-410679,Warranty Void
CL-1171,09/06/2020,OID-363071,Free Replaced
CL-1172,09/06/2020,OID-363176,Free Replaced
CL-1173,09/06/2020,OID-363373,Free Replaced
CL-1174,15/07/2020,OID-410915,Warranty Void
CL-1177,23/11/2020,OID-448881,Warranty Void
CL-1178,10/06/2020,OID-362667,Free Replaced
CL-1179,10/06/2020,OID-362781,Free Replaced
CL-1180,10/06/2020,OID-362937,Free Replaced
CL-1181,10/06/2020,OID-363030,Free Replaced
CL-1182,10/06/2020,OID-363103,Free Replaced
CL-1183,10/06/2020,OID-363237,Free Replaced
CL-1184,10/06/2020,OID-363260,Free Replaced
CL-1185,17/12/2020,OID-397907,Paid Repaired
CL-1186,02/12/2020,OID-410892,Paid Repaired
CL-1191,12/06/2020,OID-448917,Warranty Void
CL-1192,11/06/2020,OID-362830,Free Replaced
CL-1193,11/06/2020,OID-362842,Free Replaced
CL-1194,11/06/2020,OID-363058,Free Replaced
CL-1195,11/06/2020,OID-363060,Free Replaced
CL-1196,25/10/2020,OID-397990,Paid Repaired
CL-1198,19/11/2020,OID-423552,Paid Repaired
CL-1203,12/06/2020,OID-362524,Free Replaced
CL-1204,12/06/2020,OID-362881,Free Replaced
CL-1205,12/06/2020,OID-363360,Free Replaced
CL-1206,10/10/2020,OID-397966,Warranty Void
CL-1207,20/11/2020,OID-423574,Paid Repaired
CL-1209,13/06/2020,OID-362986,Free Replaced
CL-1210,08/07/2020,OID-410831,Warranty Void
CL-1211,19/12/2020,OID-436181,Paid Repaired
CL-1213,14/06/2020,OID-362853,Free Replaced
CL-1214,14/06/2020,OID-362931,Free Replaced
CL-1215,14/06/2020,OID-362934,Free Replaced
CL-1216,14/06/2020,OID-362936,Free Replaced
CL-1217,14/06/2020,OID-362967,Free Replaced
CL-1218,14/06/2020,OID-363051,Free Replaced
CL-1223,15/06/2020,OID-362646,Free Replaced
CL-1224,15/06/2020,OID-362663,Free Replaced
CL-1225,15/06/2020,OID-362702,Free Replaced
CL-1226,15/06/2020,OID-362706,Free Replaced
CL-1227,15/06/2020,OID-363131,Free Replaced
CL-1228,15/06/2020,OID-363169,Free Replaced
CL-1229,15/06/2020,OID-363217,Free Replaced
CL-1230,15/06/2020,OID-363343,Free Replaced
CL-1232,25/06/2020,OID-423281,Warranty Void
CL-1233,16/09/2020,OID-448969,Warranty Void
CL-1234,16/06/2020,OID-362690,Free Replaced
CL-1235,16/06/2020,OID-362751,Free Replaced
CL-1236,16/06/2020,OID-362840,Free Replaced
CL-1237,16/06/2020,OID-362983,Free Replaced
CL-1238,16/06/2020,OID-363115,Free Replaced
CL-1240,17/06/2020,OID-362497,Free Replaced
CL-1241,17/06/2020,OID-362550,Free Replaced
CL-1242,17/06/2020,OID-362705,Free Replaced
CL-1243,17/06/2020,OID-362714,Free Replaced
CL-1244,17/06/2020,OID-362993,Free Replaced
CL-1245,17/06/2020,OID-363046,Free Replaced
CL-1246,17/06/2020,OID-363056,Free Replaced
CL-1247,17/06/2020,OID-363108,Free Replaced
CL-1248,17/06/2020,OID-363151,Free Replaced
CL-1249,17/06/2020,OID-363229,Free Replaced
CL-1250,17/06/2020,OID-363245,Free Replaced
CL-1253,20/08/2020,OID-436124,Warranty Void
CL-1254,28/11/2020,OID-436195,Paid Repaired
CL-1256,21/10/2020,OID-448833,Warranty Void
CL-1257,25/11/2020,OID-448883,Paid Repaired
CL-1259,18/06/2020,OID-362504,Free Replaced
CL-1260,18/06/2020,OID-362508,Free Replaced
CL-1261,18/06/2020,OID-362642,Free Replaced
CL-1262,18/06/2020,OID-362740,Free Replaced
CL-1263,18/06/2020,OID-363178,Free Replaced
CL-1264,18/06/2020,OID-363252,Free Replaced
CL-1267,14/02/2021,OID-448842,Paid Repaired
CL-1269,19/06/2020,OID-362792,Free Replaced
CL-1270,19/06/2020,OID-362862,Free Replaced
CL-1271,19/06/2020,OID-362968,Free Replaced
CL-1272,19/06/2020,OID-363161,Free Replaced
CL-1273,19/06/2020,OID-363370,Free Replaced
CL-1274,17/06/2020,OID-423454,Warranty Void
CL-1276,20/06/2020,OID-362521,Free Replaced
CL-1277,20/06/2020,OID-362579,Free Replaced
CL-1278,20/06/2020,OID-362619,Free Replaced
CL-1279,20/06/2020,OID-362722,Free Replaced
CL-1280,20/06/2020,OID-362927,Free Replaced
CL-1281,20/06/2020,OID-363021,Free Replaced
CL-1282,16/09/2020,OID-398072,Warranty Void
CL-1286,21/06/2020,OID-362750,Free Replaced
CL-1287,21/06/2020,OID-362904,Free Replaced
CL-1288,21/06/2020,OID-363130,Free Replaced
CL-1289,21/06/2020,OID-363262,Free Replaced
CL-1290,21/06/2020,OID-363401,Free Replaced
CL-1293,22/06/2020,OID-362572,Free Replaced
CL-1294,22/06/2020,OID-362774,Free Replaced
